,Mic1,Mic2,Mic3,Mic4,Mic5,Mic6,Mic7,Mic8,Mic9,Mic10,Mic11,Mic12
35,0.004982938,0.008318539,0.01078854,0.012529475,0.014603644,0.011410938,0.012995165,0.03261317,0.012751393,0.01816959,0.020104965,0.013352409
36,0.003969458,0.00766927,0.010112597,0.012900706,0.012774635,0.011808031,0.01201918,0.033218757,0.012084265,0.016555668,0.018159194,0.01338655
37,0.003960547,0.008395095,0.010072982,0.011475666,0.013702914,0.011786604,0.013934015,0.017724941,0.015846241,0.01400194,0.017678528,0.016433148
38,0.003588608,0.007531059,0.008966391,0.009668238,0.010849198,0.011665363,0.011338489,0.01355245,0.017996986,0.013579641,0.013616137,0.014287397
39,0.003928549,0.008634155,0.009789864,0.010785857,0.011056088,0.013415603,0.011583023,0.012148146,0.02875402,0.018607643,0.012944081,0.018422499
40,0.00402842,0.009272572,0.00993683,0.010987357,0.012619308,0.015655607,0.011741531,0.012767178,0.042567211,0.01593649,0.014236874,0.019167932
41,0.003258166,0.006384627,0.008707625,0.010051099,0.009971948,0.010367449,0.011689494,0.011957465,0.012910668,0.015704156,0.01215824,0.026675726
42,0.004180189,0.008786228,0.010894869,0.012078683,0.011476291,0.012568515,0.011828339,0.014038667,0.017051972,0.013558131,0.015209631,0.047308208
43,0.003168816,0.006363214,0.007121315,0.010210603,0.009401215,0.011304186,0.011826195,0.010833271,0.012345368,0.010994564,0.011990685,0.027786938
44,0.003629703,0.007914656,0.009099382,0.012279112,0.010164587,0.012866589,0.010967961,0.013145086,0.014723633,0.015471124,0.015498693,0.022752226
45,0.003783878,0.007728159,0.008879812,0.010006008,0.011254709,0.010360796,0.012274898,0.01379286,0.013057416,0.016375558,0.016844387,0.018234466
46,0.003972738,0.008150627,0.008863411,0.012745568,0.011325202,0.011001205,0.012750451,0.019559014,0.010799166,0.015841058,0.049332421,0.015197512
47,0.003790778,0.007309776,0.00839192,0.011177348,0.010792422,0.009668412,0.012197005,0.016791816,0.010315679,0.01525485,0.043958584,0.014101003
48,0.004047547,0.007432298,0.007915662,0.012381066,0.012612319,0.010120313,0.012806643,0.015002438,0.010406431,0.017808939,0.021777868,0.012828085
49,0.004851458,0.008286532,0.010193665,0.012319981,0.012330937,0.012032034,0.013951898,0.014369132,0.011163756,0.022495182,0.016556514,0.014524251
50,0.003860039,0.006770419,0.006871521,0.011811714,0.009369392,0.011175307,0.01503586,0.011070417,0.009912206,0.029394803,0.012710811,0.012356033
51,0.005431605,0.00877559,0.008424978,0.015970205,0.010407751,0.011233527,0.018761917,0.012382912,0.010396108,0.041845602,0.012603521,0.011838207
52,0.003021513,0.005320873,0.006350598,0.010294842,0.008312183,0.008364065,0.012994263,0.00937003,0.008504608,0.014861413,0.009881452,0.009103143
53,0.002492902,0.003849381,0.004549115,0.008633604,0.007233592,0.007944664,0.011035152,0.009233317,0.008260705,0.010640013,0.010473394,0.008410529
54,0.007607394,0.011188764,0.009707423,0.019753534,0.012974555,0.011506119,0.02283902,0.017717678,0.011982898,0.029398393,0.015823083,0.01341313
55,0.001703596,0.002675943,0.003466973,0.005068969,0.004874425,0.004682323,0.006908936,0.005046887,0.004819632,0.007163058,0.004911298,0.005008747
56,0.007675702,0.014114564,0.010979317,0.018035095,0.013028046,0.010544109,0.020105422,0.015064358,0.009647174,0.03296192,0.016375782,0.011041285
57,0.000160195,0.000296067,0.00031174,0.000544887,0.000476912,0.000494132,0.000681932,0.000575764,0.000498445,0.000674949,0.000584647,0.000555034
58,0.000172145,0.000266063,0.000331993,0.000577882,0.000483588,0.000507692,0.000744178,0.000655758,0.000552529,0.000994966,0.000624834,0.00056101
59,0.000170593,0.000264522,0.000340885,0.000608804,0.000475487,0.000499564,0.000746299,0.000580464,0.000502882,0.001006493,0.000564172,0.000590064
60,0.000387237,0.000278644,0.000237903,0.000411871,0.000302342,0.000392318,0.000381584,0.000770577,0.00031846,0.000619355,0.000276034,0.000205326
